Pairing Food,Grape,Popularity,Critics' Score,Avg. Price kr / 750ml,Wine,Region,Country,name_pair,sweetness,acidity,piquancy,fattiness,bitterness,Alcohol,Price_Review,Vintage,name_wine_review,sweetness_food,acidity_food,salinity_food,piquancy_food,fattiness_food,bitterness_food
beef and venison,Bordeaux Blend Red,1st,96 / 100,"7,926",Chateau Mouton Rothschild, Pauillac, France,Bordeaux Blend Red Chateau Mouton Rothschild Pauillac France,-27.316847,-0.0009718092,-5.6530304,-4.383264,-10.966054,14%,$675,2016.0,Bordeaux-style Red Blend ChÃ¢teau Mouton Rothschild Pauillac France,0.14189681132049217,0.3181446620030892,0.6552644575786216,0.4730964736715084,0.42086276068404743,0.2282057906088553
beef and venison,Bordeaux Blend Red,3rd,96 / 100,"10,564",Chateau Lafite Rothschild, Pauillac, France,Bordeaux Blend Red Chateau Lafite Rothschild Pauillac France,-0.00015063133,-0.0009718092,-5.6530304,-4.383264,-10.966054,,$869,2016.0,Bordeaux-style Red Blend ChÃ¢teau Lafite Rothschild Pauillac France,0.14189681132049217,0.3181446620030892,0.6552644575786216,0.4730964736715084,0.42086276068404743,0.2282057906088553
beef and venison,Merlot,4th,96 / 100,"47,971",Petrus, Pomerol, France,Merlot Petrus Pomerol France,-0.00015063133,-3.8609445,-5.6530304,-4.383264,27.357079,14%,$65,2014.0,Merlot ChÃ¢teau Fayat Pomerol France,0.14189681132049217,0.3181446620030892,0.6552644575786216,0.4730964736715084,0.42086276068404743,0.2282057906088553
beef and venison,Cabernet Franc - Cabernet Sauvignon,5th,95 / 100,"3,930",Tenuta San Guido Sassicaia Bolgheri, Tuscany, Italy,Cabernet Franc - Cabernet Sauvignon Tenuta San Guido Sassicaia Bolgheri Tuscany Italy,-0.00015063133,-3.8609445,53.069004,-4.383264,-10.966054,14%,$250,2016.0,"Red Blends, Red Blends Tenuta San Guido Bolgheri Sassicaia Italy",0.14189681132049217,0.3181446620030892,0.6552644575786216,0.4730964736715084,0.42086276068404743,0.2282057906088553
beef and venison,Bordeaux Blend Red,6th,96 / 100,"8,419",Chateau Margaux, Margaux, France,Bordeaux Blend Red Chateau Margaux Margaux France,-0.00015063133,-3.8609445,-5.6530304,-4.383264,-10.966054,13.5%,$589,2016.0,Bordeaux-style Red Blend ChÃ¢teau Margaux Margaux France,0.14189681132049217,0.3181446620030892,0.6552644575786216,0.4730964736715084,0.42086276068404743,0.2282057906088553
beef and venison,Bordeaux Blend Red,7th,94 / 100,"4,889",Opus One, Napa Valley, USA,Bordeaux Blend Red Opus One Napa Valley USA,-0.00015063133,-0.0009718092,-5.6530304,-4.383264,-10.966054,14.7%,$195,2016.0,Bordeaux-style Red Blend Anderson Conn Valley Napa US,0.14189681132049217,0.3181446620030892,0.6552644575786216,0.4730964736715084,0.42086276068404743,0.2282057906088553
beef and venison,Cabernet Sauvignon - Merlot,8th,96 / 100,"8,832",Chateau Latour, Pauillac, France,Cabernet Sauvignon - Merlot Chateau Latour Pauillac France,-0.00015063133,-3.8609445,-5.6530304,-4.383264,-10.966054,13%,$12,2006.0,Cabernet Sauvignon La Patache MÃ©doc France,0.14189681132049217,0.3181446620030892,0.6552644575786216,0.4730964736715084,0.42086276068404743,0.2282057906088553
beef and venison,Bordeaux Blend Red,10th,96 / 100,"7,074",Chateau Haut-Brion, Pessac-Leognan, France,Bordeaux Blend Red Chateau Haut-Brion Pessac-Leognan France,-0.00015063133,-0.0009718092,-5.6530304,-4.383264,27.357079,14%,$650,2016.0,Bordeaux-style Red Blend ChÃ¢teau Haut-Brion Pessac-LÃ©ognan France,0.14189681132049217,0.3181446620030892,0.6552644575786216,0.4730964736715084,0.42086276068404743,0.2282057906088553
beef and venison,Cabernet - Sangiovese,13th,94 / 100,"2,038",Marchesi Antinori Tignanello Toscana IGT, Tuscany, Italy,Cabernet - Sangiovese Marchesi Antinori Tignanello Toscana IGT Tuscany Italy,-27.316847,-0.0009718092,-5.6530304,-4.383264,-10.966054,,$150,2012.0,Sangiovese Marchesi Antinori Brunello di Montalcino Italy,0.14189681132049217,0.3181446620030892,0.6552644575786216,0.4730964736715084,0.42086276068404743,0.2282057906088553
beef and venison,Bordeaux Blend Red,15th,94 / 100,"1,838",Chateau Lynch-Bages, Pauillac, France,Bordeaux Blend Red Chateau Lynch-Bages Pauillac France,-27.316847,-0.0009718092,-5.6530304,-4.383264,-10.966054,13.5%,$154,2016.0,Bordeaux-style Red Blend ChÃ¢teau Lynch-Bages Pauillac France,0.14189681132049217,0.3181446620030892,0.6552644575786216,0.4730964736715084,0.42086276068404743,0.2282057906088553
beef and venison,Bordeaux Blend Red,16th,95 / 100,"1,505",Chateau Pontet-Canet, Pauillac, France,Bordeaux Blend Red Chateau Pontet-Canet Pauillac France,-0.00015063133,-0.0009718092,-5.6530304,-4.383264,-10.966054,13.5%,$159,2016.0,Bordeaux-style Red Blend ChÃ¢teau Pontet-Canet Pauillac France,0.14189681132049217,0.3181446620030892,0.6552644575786216,0.4730964736715084,0.42086276068404743,0.2282057906088553
beef and venison,Bordeaux Blend Red,18th,96 / 100,"8,313",Chateau Cheval Blanc, Saint-Emilion, France,Bordeaux Blend Red Chateau Cheval Blanc Saint-Emilion France,-0.00015063133,-3.8609445,-5.6530304,-4.383264,-10.966054,13.5%,$729,2016.0,Bordeaux-style Red Blend ChÃ¢teau Cheval Blanc Saint-Ãmilion France,0.14189681132049217,0.3181446620030892,0.6552644575786216,0.4730964736715084,0.42086276068404743,0.2282057906088553
beef and venison,Bordeaux Blend Red,19th,95 / 100,"2,158",Chateau Montrose, Saint-Estephe, France,Bordeaux Blend Red Chateau Montrose Saint-Estephe France,-0.00015063133,-0.0009718092,-5.6530304,-4.383264,-10.966054,13.5%,$199,2016.0,Bordeaux-style Red Blend ChÃ¢teau Montrose Saint-EstÃ¨phe France,0.14189681132049217,0.3181446620030892,0.6552644575786216,0.4730964736715084,0.42086276068404743,0.2282057906088553
beef and venison,Bordeaux Blend Red,20th,95 / 100,"2,438",Chateau Cos d'Estournel, Saint-Estephe, France,Bordeaux Blend Red Chateau Cos d'Estournel Saint-Estephe France,-0.00015063133,-0.0009718092,-5.6530304,-4.383264,-10.966054,13.5%,$200,2016.0,Bordeaux-style Red Blend ChÃ¢teau Cos d'Estournel Saint-EstÃ¨phe France,0.14189681132049217,0.3181446620030892,0.6552644575786216,0.4730964736715084,0.42086276068404743,0.2282057906088553
beef and venison,Bordeaux Blend Red,21st,96 / 100,"3,091",Chateau Leoville-Las Cases 'Grand Vin de Leoville', Saint-Julien, France,Bordeaux Blend Red Chateau Leoville-Las Cases 'Grand Vin de Leoville' Saint-Julien France,-0.00015063133,-0.0009718092,-5.6530304,-4.383264,-10.966054,13.5%,$289,2016.0,Bordeaux-style Red Blend ChÃ¢teau LÃ©oville Las Cases Saint-Julien France,0.14189681132049217,0.3181446620030892,0.6552644575786216,0.4730964736715084,0.42086276068404743,0.2282057906088553
beef and venison,Merlot,22nd,96 / 100,"11,270",Masseto Toscana IGT, Tuscany, Italy,Merlot Masseto Toscana IGT Tuscany Italy,-0.00015063133,-0.0009718092,-5.6530304,-4.383264,-10.966054,14%,$750,2014.0,Merlot Masseto Toscana Italy,0.14189681132049217,0.3181446620030892,0.6552644575786216,0.4730964736715084,0.42086276068404743,0.2282057906088553
beef and venison,Bordeaux Blend Red,26th,95 / 100,"2,584",Chateau Pichon Longueville Comtesse de Lalande, Pauillac, France,Bordeaux Blend Red Chateau Pichon Longueville Comtesse de Lalande Pauillac France,-0.00015063133,-0.0009718092,-5.6530304,-4.383264,27.357079,13.5%,$205,2016.0,Bordeaux-style Red Blend ChÃ¢teau Pichon Longueville Comtesse de Lalande Pauillac France,0.14189681132049217,0.3181446620030892,0.6552644575786216,0.4730964736715084,0.42086276068404743,0.2282057906088553
beef and venison,Bordeaux Blend Red,27th,95 / 100,"3,877",Chateau Palmer, Margaux, France,Bordeaux Blend Red Chateau Palmer Margaux France,-0.00015063133,-0.0009718092,-5.6530304,-4.383264,-10.966054,13.5%,$330,2016.0,Bordeaux-style Red Blend ChÃ¢teau Palmer Margaux France,0.14189681132049217,0.3181446620030892,0.6552644575786216,0.4730964736715084,0.42086276068404743,0.2282057906088553
beef and venison,Cabernet Sauvignon - Merlot,29th,95 / 100,"2,638",Chateau Ducru-Beaucaillou, Saint-Julien, France,Cabernet Sauvignon - Merlot Chateau Ducru-Beaucaillou Saint-Julien France,-0.00015063133,-0.0009718092,-5.6530304,68.451866,-10.966054,14%,$40,2015.0,Merlot ChÃ¢teau Moulin de Lagnet Saint-Ãmilion France,0.14189681132049217,0.3181446620030892,0.6552644575786216,0.4730964736715084,0.42086276068404743,0.2282057906088553
beef and venison,Syrah,30th,96 / 100,"6,767",Penfolds Grange Bin 95, Australia,,Syrah Penfolds Grange Bin 95 Australia ,-0.00015063133,-0.0009718092,-5.6530304,-4.383264,27.357079,14.5%,$99,2014.0,Syrah Penfolds Australia Australia,0.14189681132049217,0.3181446620030892,0.6552644575786216,0.4730964736715084,0.42086276068404743,0.2282057906088553
beef and venison,Bordeaux Blend Red,31st,94 / 100,"2,891",Ornellaia Bolgheri Superiore, Tuscany, Italy,Bordeaux Blend Red Ornellaia Bolgheri Superiore Tuscany Italy,-27.316847,-0.0009718092,-5.6530304,-4.383264,-10.966054,13.5%,$250,2014.0,"Red Blends, Red Blends Ornellaia Bolgheri Superiore Italy",0.14189681132049217,0.3181446620030892,0.6552644575786216,0.4730964736715084,0.42086276068404743,0.2282057906088553
beef and venison,Bordeaux Blend Red,32nd,93 / 100,"1,279",Chateau Gruaud-Larose, Saint-Julien, France,Bordeaux Blend Red Chateau Gruaud-Larose Saint-Julien France,-0.00015063133,-0.0009718092,-5.6530304,-4.383264,-10.966054,14%,$75,2016.0,Bordeaux-style Red Blend ChÃ¢teau Gruaud Larose Saint-Julien France,0.14189681132049217,0.3181446620030892,0.6552644575786216,0.4730964736715084,0.42086276068404743,0.2282057906088553
beef and venison,Cabernet - Sangiovese,33rd,95 / 100,"4,263",Marchesi Antinori Solaia Toscana IGT, Tuscany, Italy,Cabernet - Sangiovese Marchesi Antinori Solaia Toscana IGT Tuscany Italy,-0.00015063133,-3.8609445,-5.6530304,-4.383264,-10.966054,13%,$23,2001.0,Sangiovese Antinori Toscana Italy,0.14189681132049217,0.3181446620030892,0.6552644575786216,0.4730964736715084,0.42086276068404743,0.2282057906088553
beef and venison,Bordeaux Blend Red,35th,94 / 100,"1,292",Chateau Leoville Barton, Saint-Julien, France,Bordeaux Blend Red Chateau Leoville Barton Saint-Julien France,-0.00015063133,-0.0009718092,-5.6530304,-4.383264,-10.966054,14%,$90,2016.0,Bordeaux-style Red Blend ChÃ¢teau LÃ©oville Barton Saint-Julien France,0.14189681132049217,0.3181446620030892,0.6552644575786216,0.4730964736715084,0.42086276068404743,0.2282057906088553
beef and venison,Bordeaux Blend Red,36th,95 / 100,"4,503",Chateau La Mission Haut-Brion, Pessac-Leognan, France,Bordeaux Blend Red Chateau La Mission Haut-Brion Pessac-Leognan France,-0.00015063133,-3.8609445,-5.6530304,-4.383264,-10.966054,14%,$469,2016.0,Bordeaux-style Red Blend ChÃ¢teau La Mission Haut-Brion Pessac-LÃ©ognan France,0.14189681132049217,0.3181446620030892,0.6552644575786216,0.4730964736715084,0.42086276068404743,0.2282057906088553
